#x	Phi [cm^3/s]
0.0001	2.62616e-22
0.000120226	2.19247e-22
0.000144544	5.86177e-22
0.00017378	5.3446e-22
0.00020893	8.92484e-22
0.000251189	1.63497e-21
0.000301995	2.20181e-21
0.000363078	3.0861e-21
0.000436516	2.81871e-21
0.000524807	4.00899e-21
0.000630957	3.88772e-21
0.000758578	4.33534e-21
0.000912011	6.51636e-21
0.00109648	6.47664e-21
0.00131826	8.56095e-21
0.00158489	1.14289e-20
0.00190546	1.30062e-20
0.00229087	1.37536e-20
0.00275423	1.49776e-20
0.00331131	1.67115e-20
0.00398107	2.85876e-20
0.0047863	3.35885e-20
0.0057544	3.60453e-20
0.00691831	5.35534e-20
0.00831764	5.67602e-20
0.01	6.21898e-20
0.0120226	8.27509e-20
0.0144544	9.74043e-20
0.017378	1.14746e-19
0.020893	1.43817e-19
0.0251189	1.59492e-19
0.0301995	1.82514e-19
0.0363078	2.435e-19
0.0436516	3.02255e-19
0.0524807	3.25962e-19
0.0630957	4.09679e-19
0.0758578	4.41554e-19
0.0912011	4.57543e-19
0.109648	4.34314e-19
0.131826	3.9287e-19
0.158489	3.45787e-19
0.190546	1.52893e-19
0.229087	7.41204e-20
0.275423	7.57434e-21
0.331131	0
0.398107	0
0.47863	0
0.57544	0
0.691831	0
0.831764	0
