#x	Phi [cm^3/s]
0.0001	1.91506e-20
0.000120226	2.29973e-20
0.000144544	2.48307e-20
0.00017378	3.28862e-20
0.00020893	3.31841e-20
0.000251189	4.60341e-20
0.000301995	5.96544e-20
0.000363078	6.51097e-20
0.000436516	7.89072e-20
0.000524807	1.02427e-19
0.000630957	1.19124e-19
0.000758578	1.48472e-19
0.000912011	1.70222e-19
0.00109648	2.04224e-19
0.00131826	2.50222e-19
0.00158489	3.05151e-19
0.00190546	3.36078e-19
0.00229087	4.54625e-19
0.00275423	5.01153e-19
0.00331131	5.78541e-19
0.00398107	7.26895e-19
0.0047863	8.01968e-19
0.0057544	8.70032e-19
0.00691831	1.09591e-18
0.00831764	1.19266e-18
0.01	1.29881e-18
0.0120226	1.55297e-18
0.0144544	1.65941e-18
0.017378	1.80021e-18
0.020893	2.08729e-18
0.0251189	2.15264e-18
0.0301995	2.23001e-18
0.0363078	2.4254e-18
0.0436516	2.49734e-18
0.0524807	2.46019e-18
0.0630957	2.41261e-18
0.0758578	2.36619e-18
0.0912011	2.28736e-18
0.109648	2.01316e-18
0.131826	1.85844e-18
0.158489	1.64997e-18
0.190546	1.25339e-18
0.229087	1.00208e-18
0.275423	8.32315e-19
0.331131	4.14201e-19
0.398107	2.65382e-19
0.47863	1.63967e-19
0.57544	3.53476e-20
0.691831	1.25448e-20
0.831764	1.88341e-21
