#x	Phi [cm^3/s]
0.0001	1.90531e-21
0.000120226	2.77446e-21
0.000144544	2.59726e-21
0.00017378	3.74169e-21
0.00020893	3.3435e-21
0.000251189	5.77835e-21
0.000301995	7.22601e-21
0.000363078	9.5856e-21
0.000436516	1.25624e-20
0.000524807	1.04528e-20
0.000630957	1.28345e-20
0.000758578	1.46739e-20
0.000912011	1.70121e-20
0.00109648	2.21641e-20
0.00131826	2.56576e-20
0.00158489	3.30215e-20
0.00190546	3.25092e-20
0.00229087	4.73979e-20
0.00275423	6.03883e-20
0.00331131	6.60857e-20
0.00398107	7.9275e-20
0.0047863	9.44843e-20
0.0057544	1.1783e-19
0.00691831	1.48967e-19
0.00831764	1.79151e-19
0.01	1.9818e-19
0.0120226	2.5063e-19
0.0144544	2.67696e-19
0.017378	3.17815e-19
0.020893	3.91647e-19
0.0251189	4.33017e-19
0.0301995	4.72339e-19
0.0363078	5.03418e-19
0.0436516	5.12619e-19
0.0524807	5.06227e-19
0.0630957	4.24937e-19
0.0758578	3.73525e-19
0.0912011	2.98146e-19
0.109648	1.6659e-19
0.131826	1.02605e-19
0.158489	4.95652e-20
0.190546	7.75527e-21
0.229087	1.6551e-21
0.275423	0
0.331131	0
0.398107	0
0.47863	0
0.57544	0
0.691831	0
0.831764	0
