#x	Phi [cm^3/s]
0.0001	2.25007e-20
0.000120226	2.90791e-20
0.000144544	3.30754e-20
0.00017378	3.46901e-20
0.00020893	5.13403e-20
0.000251189	6.33436e-20
0.000301995	6.91975e-20
0.000363078	8.33604e-20
0.000436516	9.97259e-20
0.000524807	1.16839e-19
0.000630957	1.26074e-19
0.000758578	1.6694e-19
0.000912011	2.07692e-19
0.00109648	2.2554e-19
0.00131826	2.80578e-19
0.00158489	3.23303e-19
0.00190546	3.63546e-19
0.00229087	4.73872e-19
0.00275423	5.09207e-19
0.00331131	5.70343e-19
0.00398107	6.93902e-19
0.0047863	7.33527e-19
0.0057544	7.92293e-19
0.00691831	9.3335e-19
0.00831764	9.93417e-19
0.01	1.0836e-18
0.0120226	1.1922e-18
0.0144544	1.24227e-18
0.017378	1.30243e-18
0.020893	1.36245e-18
0.0251189	1.37562e-18
0.0301995	1.36909e-18
0.0363078	1.34129e-18
0.0436516	1.30316e-18
0.0524807	1.24801e-18
0.0630957	1.11643e-18
0.0758578	1.03463e-18
0.0912011	9.25169e-19
0.109648	7.14248e-19
0.131826	5.96166e-19
0.158489	4.99044e-19
0.190546	3.21423e-19
0.229087	2.28315e-19
0.275423	1.48095e-19
0.331131	6.01076e-20
0.398107	3.01955e-20
0.47863	1.35583e-20
0.57544	8.46065e-22
0.691831	0
0.831764	0
