#x	Phi [cm^3/s]
0.0001	1.87273e-21
0.000120226	2.46286e-21
0.000144544	3.26832e-21
0.00017378	3.41815e-21
0.00020893	3.60892e-21
0.000251189	5.05843e-21
0.000301995	5.39734e-21
0.000363078	6.3743e-21
0.000436516	9.67797e-21
0.000524807	9.89499e-21
0.000630957	1.34501e-20
0.000758578	1.63044e-20
0.000912011	1.9167e-20
0.00109648	2.37055e-20
0.00131826	2.8129e-20
0.00158489	3.18723e-20
0.00190546	3.90288e-20
0.00229087	5.0114e-20
0.00275423	5.42491e-20
0.00331131	6.68079e-20
0.00398107	8.59327e-20
0.0047863	9.74673e-20
0.0057544	1.06705e-19
0.00691831	1.44957e-19
0.00831764	1.66139e-19
0.01	1.87342e-19
0.0120226	2.45836e-19
0.0144544	2.77112e-19
0.017378	3.12181e-19
0.020893	3.91115e-19
0.0251189	4.36461e-19
0.0301995	4.5481e-19
0.0363078	5.15942e-19
0.0436516	5.19584e-19
0.0524807	5.10467e-19
0.0630957	4.3107e-19
0.0758578	3.73411e-19
0.0912011	3.08982e-19
0.109648	1.62956e-19
0.131826	1.03985e-19
0.158489	5.59695e-20
0.190546	7.17989e-21
0.229087	7.85841e-22
0.275423	4.14934e-23
0.331131	0
0.398107	0
0.47863	0
0.57544	0
0.691831	0
0.831764	0
