#x	Phi [cm^3/s]
0.0001	3.625e-20
0.000120226	4.47849e-20
0.000144544	6.52081e-20
0.00017378	8.52307e-20
0.00020893	9.75311e-20
0.000251189	1.17201e-19
0.000301995	1.38222e-19
0.000363078	1.51129e-19
0.000436516	2.11694e-19
0.000524807	2.25786e-19
0.000630957	2.68355e-19
0.000758578	3.37722e-19
0.000912011	4.13224e-19
0.00109648	4.35641e-19
0.00131826	5.94905e-19
0.00158489	6.45274e-19
0.00190546	7.06855e-19
0.00229087	8.88521e-19
0.00275423	9.42142e-19
0.00331131	1.06297e-18
0.00398107	1.28824e-18
0.0047863	1.35225e-18
0.0057544	1.46292e-18
0.00691831	1.7142e-18
0.00831764	1.81983e-18
0.01	1.97524e-18
0.0120226	2.13842e-18
0.0144544	2.20544e-18
0.017378	2.27811e-18
0.020893	2.3434e-18
0.0251189	2.35295e-18
0.0301995	2.2646e-18
0.0363078	2.15459e-18
0.0436516	2.05304e-18
0.0524807	1.90126e-18
0.0630957	1.63792e-18
0.0758578	1.48027e-18
0.0912011	1.32375e-18
0.109648	9.88438e-19
0.131826	8.19902e-19
0.158489	6.1115e-19
0.190546	3.41311e-19
0.229087	2.51017e-19
0.275423	1.61041e-19
0.331131	5.91434e-20
0.398107	3.34102e-20
0.47863	1.53726e-20
0.57544	3.2244e-22
0.691831	0
0.831764	0
