#x	Phi [cm^3/s]
0.0001	1.57465e-21
0.000120226	2.71048e-21
0.000144544	2.93513e-21
0.00017378	2.14016e-21
0.00020893	3.64721e-21
0.000251189	7.4633e-21
0.000301995	7.5072e-21
0.000363078	6.98171e-21
0.000436516	9.37749e-21
0.000524807	9.52453e-21
0.000630957	1.35964e-20
0.000758578	1.51963e-20
0.000912011	2.25814e-20
0.00109648	2.5336e-20
0.00131826	2.5079e-20
0.00158489	3.16783e-20
0.00190546	3.97449e-20
0.00229087	5.18799e-20
0.00275423	5.78648e-20
0.00331131	6.92066e-20
0.00398107	9.88061e-20
0.0047863	1.1008e-19
0.0057544	1.1281e-19
0.00691831	1.63839e-19
0.00831764	1.78496e-19
0.01	2.11845e-19
0.0120226	2.7451e-19
0.0144544	3.09461e-19
0.017378	3.66239e-19
0.020893	4.91879e-19
0.0251189	5.40407e-19
0.0301995	5.83457e-19
0.0363078	5.902e-19
0.0436516	5.73514e-19
0.0524807	5.18492e-19
0.0630957	3.64246e-19
0.0758578	2.58982e-19
0.0912011	1.47379e-19
0.109648	3.09483e-21
0.131826	0
0.158489	0
0.190546	0
0.229087	0
0.275423	0
0.331131	0
0.398107	0
0.47863	0
0.57544	0
0.691831	0
0.831764	0
