#x	Phi [cm^3/s]
0.0001	4.23823e-20
0.000120226	5.11196e-20
0.000144544	6.79368e-20
0.00017378	7.697e-20
0.00020893	8.32176e-20
0.000251189	1.15177e-19
0.000301995	1.32093e-19
0.000363078	1.50377e-19
0.000436516	2.02211e-19
0.000524807	2.31444e-19
0.000630957	2.58224e-19
0.000758578	3.47586e-19
0.000912011	3.89859e-19
0.00109648	4.42118e-19
0.00131826	5.71963e-19
0.00158489	6.43893e-19
0.00190546	7.09884e-19
0.00229087	8.91503e-19
0.00275423	9.69409e-19
0.00331131	1.06928e-18
0.00398107	1.27192e-18
0.0047863	1.37629e-18
0.0057544	1.48368e-18
0.00691831	1.73492e-18
0.00831764	1.84545e-18
0.01	1.95503e-18
0.0120226	2.12968e-18
0.0144544	2.22567e-18
0.017378	2.29355e-18
0.020893	2.36051e-18
0.0251189	2.37397e-18
0.0301995	2.32238e-18
0.0363078	2.17691e-18
0.0436516	2.07276e-18
0.0524807	1.94333e-18
0.0630957	1.65156e-18
0.0758578	1.46065e-18
0.0912011	1.30405e-18
0.109648	9.30071e-19
0.131826	7.3639e-19
0.158489	5.77718e-19
0.190546	2.92565e-19
0.229087	2.02889e-19
0.275423	1.11741e-19
0.331131	3.40053e-20
0.398107	1.68515e-20
0.47863	8.02824e-21
0.57544	9.21951e-22
0.691831	1.34208e-22
0.831764	0
