#x	Phi [cm^3/s]
0.0001	5.07254e-20
0.000120226	6.28396e-20
0.000144544	8.20031e-20
0.00017378	1.04118e-19
0.00020893	1.05552e-19
0.000251189	1.49915e-19
0.000301995	1.54066e-19
0.000363078	1.94865e-19
0.000436516	2.49014e-19
0.000524807	2.65573e-19
0.000630957	3.21958e-19
0.000758578	3.87069e-19
0.000912011	4.37573e-19
0.00109648	4.77745e-19
0.00131826	5.81235e-19
0.00158489	6.2947e-19
0.00190546	6.94034e-19
0.00229087	8.35899e-19
0.00275423	9.2062e-19
0.00331131	9.89368e-19
0.00398107	1.09889e-18
0.0047863	1.19077e-18
0.0057544	1.26837e-18
0.00691831	1.3714e-18
0.00831764	1.38332e-18
0.01	1.40984e-18
0.0120226	1.44738e-18
0.0144544	1.41851e-18
0.017378	1.40567e-18
0.020893	1.30135e-18
0.0251189	1.30329e-18
0.0301995	1.21681e-18
0.0363078	1.08676e-18
0.0436516	9.69126e-19
0.0524807	9.4573e-19
0.0630957	7.12106e-19
0.0758578	6.36043e-19
0.0912011	5.66479e-19
0.109648	3.81786e-19
0.131826	2.99602e-19
0.158489	2.38491e-19
0.190546	1.30713e-19
0.229087	1.01289e-19
0.275423	7.22328e-20
0.331131	2.79627e-20
0.398107	1.54469e-20
0.47863	1.01356e-20
0.57544	9.10864e-22
0.691831	6.27365e-22
0.831764	0
